# Hunt log for collodi from Mon Dec 12 17:34:37 2011
# time	correctness
0.814856	1
2.64378	1
3.99461	1
5.78424	1
6.79685	1
8.10858	1
9.00278	0
9.44095	1
10.5131	1
11.4274	0
11.8855	1
12.7401	1
13.8928	0
14.4482	0
14.8655	1
16.5748	1
17.8068	1
19.0401	1
20.2572	1
21.3451	1
22.4771	0
23.2323	1
24.3259	1
25.1007	1
26.0147	1
27.3868	1
28.6976	1
30.2081	1
31.4004	0
32.0562	1
33.507	1
34.4213	1
35.5949	1
36.5677	1
37.621	1
39.4691	0
40.2442	1
41.834	1
43.4041	1
45.6907	1
47.0807	1
48.3726	0
49.068	1
52.7857	1
53.6787	0
54.2153	1
55.0699	1
56.6202	1
57.6734	1
58.8865	1
60.2595	0
60.6545	1
61.9868	1
63.1386	1
64.2927	1
65.7223	1
66.696	1
68.2545	1
70.2338	1
71.3872	1
