# Hunt log for 2 from Mon Dec 12 18:39:00 2011
# time	correctness
2.66398	1
9.24128	1
10.9707	1
15.2828	1
18.284	1
22.3778	1
24.3651	1
27.0481	1
30.844	0
31.5096	1
35.714	1
38.9523	1
42.1133	0
42.7482	1
48.5514	0
49.4703	1
51.0951	1
53.5093	1
55.4873	1
58.4743	1
61.9262	1
64.6291	1
69.4186	1
72.4196	1
74.2701	0
77.5668	1
80.563	1
84.4468	1
86.8479	1
88.3382	1
90.9747	1
92.0236	1
94.3404	1
95.8508	1
97.5596	1
102.349	1
105.489	1
107.467	1
110.08	1
111.75	1
113.419	1
114.466	1
116.718	1
119.54	1
120.574	1
121.945	1
123.972	1
126.774	1
129.238	1
130.629	1
132.438	1
135.379	1
137.407	1
139.652	0
140.884	0
141.759	1
143.965	1
