# Hunt log for collodi from Tue Dec 13 12:12:39 2011
# time	correctness
2.84157	1
8.56915	1
13.6141	1
19.4758	1
25.2662	1
30.5056	1
36.8452	1
41.6548	1
46.8219	1
55.3675	1
60.2401	0
60.8933	0
62.4038	0
63.0193	1
66.338	1
76.4934	1
80.0506	1
81.9784	1
86.7683	1
101.813	1
106.602	1
110.477	1
114.811	1
118.029	1
121.368	1
124.15	1
129.775	1
131.98	1
134.286	1
138.479	1
141.321	1
148.098	1
151.656	1
155.988	1
161.99	1
166.7	0
167.296	0
167.814	1
171.728	1
176.378	1
178.406	1
187.329	1
189.814	1
195.119	1
198.359	1
202.712	1
207.661	1
210.481	1
213.304	1
214.993	0
215.549	1
219.465	1
221.75	1
225.148	1
231.548	1
