# Hunt log for collodi from Tue Dec 13 12:21:27 2011 xyxz
# time	correctness
1.8558	1
3.59692	1
5.82255	1
9.9771	1
13.4341	1
15.6401	1
19.1975	1
22.0595	1
27.1285	1
30.1083	1
36.2888	1
40.6612	1
43.2447	1
46.326	1
48.4317	1
51.4723	1
54.4136	1
56.0234	1
57.7922	1
62.3432	1
64.8887	1
69.8833	1
72.8845	1
75.1419	1
76.1764	1
78.3454	1
83.1514	1
85.0789	1
87.7618	1
89.5355	1
92.4716	1
94.9162	1
97.4003	1
101.277	1
104.498	1
106.403	1
109.662	1
111.312	1
114.094	1
116.679	1
119.222	1
124.289	1
126.456	0
127.33	1
130.889	1
133.312	1
135.18	1
136.333	1
138.857	1
141.083	1
143.646	1
