# Hunt log for collodi from Tue Dec 13 12:43:31 2011 - xzxy
# time	correctness
3.87491	1
5.67038	1
7.09446	0
7.67189	1
9.89695	1
13.5546	1
16.3556	1
18.0324	1
19.5951	1
23.1921	1
26.2544	1
28.4403	0
28.936	1
30.9054	1
32.136	0
32.674	1
35.0611	1
37.5409	1
39.2501	1
40.7802	1
43.3242	1
44.2584	0
44.7749	1
45.7376	1
48.2926	1
49.7581	1
52.6448	0
53.1038	1
54.3746	1
55.5463	1
57.2356	1
59.9586	1
61.1517	1
63.6158	1
64.8671	0
65.2458	1
68.8418	0
69.8355	1
72.8764	1
74.8686	1
77.6879	1
79.0966	1
80.897	1
82.8115	1
84.9182	1
87.1049	1
88.8333	1
90.3838	1
91.6952	0
92.3121	1
94.4775	1
96.2136	1
97.3612	1
98.6709	1
100.022	1
101.771	1
103.128	1
105.07	1
