# Hunt log for collodi from Tue Dec 13 12:54:49 2011 xzxy
# time	correctness
2.35999	1
3.63173	1
4.9039	1
6.51438	1
9.733	1
12.2401	1
13.8667	1
16.0727	1
19.3766	1
21.2203	1
23.6644	1
26.4668	1
27.7584	1
28.8515	0
29.9644	1
32.1107	1
33.0855	1
34.5154	1
35.4741	1
36.5029	1
37.2779	1
40.0603	1
41.9085	1
43.3596	1
46.0223	1
46.9961	1
48.587	1
51.9447	1
52.9582	1
54.5495	1
57.0346	1
58.328	1
60.0133	1
64.465	1
65.6773	1
68.7975	1
71.0829	1
72.6928	1
73.6069	1
75.0385	1
76.3297	1
78.059	1
79.9267	1
80.9802	1
84.3797	1
85.6106	1
87.2205	1
88.0949	1
90.2413	1
91.5925	1
94.097	1
95.0306	1
96.422	1
98.1309	0
98.7271	1
100.181	1
102.583	1
105.007	1
106.1	0
106.697	1
108.048	1
109.518	1
111.307	1
112.185	1
113.712	1
115.063	1
117.158	1
118.585	1
120.55	1
123.013	1
125.258	1
127.623	1
129.293	1
131.937	1
134.043	1
135.552	1
136.789	1
137.76	1
138.852	0
139.349	1
141.058	1
142.828	1
145.45	1
146.424	1
148.195	1
150.776	1
153.062	1
154.16	1
155.427	1
157.652	1
160.635	1
162.581	1
164.767	1
165.701	1
168.444	1
170.014	1
171.306	0
171.763	0
172.717	1
174.326	1
175.221	1
177.155	1
180.886	1
181.819	0
182.733	1
185.356	1
187.152	1
188.914	1
190.722	0
192.452	1
194.478	1
195.81	1
196.883	1
198.414	1
200.58	1
