# Hunt log for collodi from Tue Dec 13 13:11:47 2011
# time	correctness - xzxy
3.57695	1
5.73911	1
11.0461	1
12.9333	1
15.6771	1
17.3453	1
18.6182	1
20.2867	1
22.5224	1
25.9109	1
29.4884	1
31.5153	1
33.9204	1
36.2854	1
37.9153	0
39.7033	1
41.631	1
44.9498	1
48.0503	1
50.7927	1
53.9329	1
57.4507	1
59.3582	1
61.5797	0
62.6185	1
64.6446	1
67.6462	1
70.2108	1
72.8922	1
74.3631	1
79.6492	1
80.9015	1
83.326	1
85.3332	1
87.8771	0
88.6918	1
90.5204	1
92.1103	1
93.6801	1
95.1111	1
97.2195	1
99.0261	1
100.298	1
102.564	1
104.074	1
105.247	1
108.923	1
110.275	1
111.487	1
112.282	0
113.296	1
116.555	1
117.906	1
119.456	0
119.977	1
